Metric,Value
val_accuracy,0.8842340818609976
val_precision,0.3814021981179513
val_recall,0.9488027162258756
val_f1_score,0.5440897678946559
val_roc_auc,0.9561885427627133
test_accuracy,0.8829403154984551
test_precision,0.37870413293870125
test_recall,0.9488920657612581
test_f1_score,0.5413533834586466
test_roc_auc,0.9563495674705923
